UrbisAdm:Adpn
UrbisAdm:Adpt
UrbisAdm:Adpz
UrbisAdm:Bg
UrbisAdm:Bl
UrbisAdm:Bu
UrbisAdm:Cabu
UrbisAdm:Capa
UrbisAdm:Geo
UrbisAdm:Highways
UrbisAdm:Md
UrbisAdm:Mu
UrbisAdm:Mu_for_bruciel
UrbisAdm:Mz
UrbisAdm:Pol
UrbisAdm:Pw
UrbisAdm:Pz
UrbisAdm:Re
UrbisAdm:RtLine
UrbisAdm:Sa
UrbisAdm:Sd
UrbisAdm:Si
UrbisAdm:SiPointVw
UrbisAdm:Sl
UrbisAdm:Sn
UrbisAdm:Ss
UrbisAdm:Sw
UrbisAdm:ToNameLine
UrbisAdm:Tu
UrbisAdm:URB_BU_TEST
UrbisAdm:ZiPoint
