bm_urbis_topo:pole_line
bm_urbis_topo:pole_point
bm_urbis_topo:pt_rail_line
bm_urbis_topo:pt_stop_line
bm_urbis_topo:pt_stop_point
bm_urbis_topo:railing
bm_urbis_topo:monument_line
bm_urbis_topo:monument_point
bm_urbis_topo:parking_line
bm_urbis_topo:parking_point
bm_urbis_topo:pillar_line
bm_urbis_topo:plantation_point
bm_urbis_topo:pillar_point
bm_urbis_topo:distribution_cabine_point
bm_urbis_topo:plantation_line
bm_urbis_topo:street_furniture_point
bm_urbis_topo:bike_shed_point
bm_urbis_topo:bridge_line
bm_urbis_topo:grid_line
bm_urbis_topo:location_marker
bm_urbis_topo:barrier
bm_urbis_topo:bike_shed_line
bm_urbis_topo:distribution_cabine_line
bm_urbis_topo:drain_line
bm_urbis_topo:drain_point
bm_urbis_topo:manhole_line
bm_urbis_topo:manhole_point
bm_urbis_topo:marking_line
bm_urbis_topo:electricity_pole
bm_urbis_topo:marking_point
bm_urbis_topo:railway_line
bm_urbis_topo:ramp_line
bm_urbis_topo:road_line
bm_urbis_topo:road_surfacing_line
bm_urbis_topo:road_surfacing_point
bm_urbis_topo:slope_line
bm_urbis_topo:slope_point
bm_urbis_topo:stair_line
bm_urbis_topo:stair_point
bm_urbis_topo:street_furniture_line
bm_urbis_topo:street_light_point
bm_urbis_topo:ticket_dispenser
bm_urbis_topo:traffic_light_line
bm_urbis_topo:traffic_light_point
bm_urbis_topo:traffic_sign_line
bm_urbis_topo:traffic_sign_point
bm_urbis_topo:tunnel_line
bm_urbis_topo:water_line
bm_urbis_topo:water_point
bm_urbis_topo:wharf_line
