BELB:r_gsm_anten_indoor_v
BELB:quartier_vert
BELB:kitchen_garden_zone
BELB:r_gsm_anten_outdoor_v
BELB:ecole
BELB:water_groundwaterbody
BELB:flood_hazardmap_2019_scale_1_10000
BELB:groundwater_model_phreatic_depth_hd
BELB:noise_rail_ln_16
BELB:be_site_gest_dev
BELB:be_site_gest_foret
BELB:be_site_gest_reserve
BELB:be_site_gest_tot
BELB:accomodation_ecolabel
BELB:kitchen_garden_point
BELB:noise_monitoring_stations
BELB:sustainable_neighborhood
BELB:compost
BELB:groundwater_model_piezo
BELB:master_composter
BELB:groundwater_model_phreatic_head
BELB:reb_zone_liaison
BELB:sustainable_neighborhood_area_test
BELB:areas_limitation_aircraft_noise
BELB:water_hydro_netwerk
BELB:forest_area_for_osiris
BELB:water_protectedsite_drinking_buffer2km
BELB:water_sewage_uwwtp_discharge
BELB:noise_multi_lden_16
BELB:accomodation_clef_verte
BELB:forest_path
BELB:natura_2000_buffer
BELB:protection_area_sonian_forest
BELB:serd_since_2013
BELB:vulnerable_zone
BELB:water_monitoring_groundwater_level_reporting
BELB:water_protectedsite_drinking_water_wells
BELB:royal_parks_walk
BELB:water_protectedsite_drinking_water
BELB:water_spring
BELB:sensitive_area
BELB:urban_environment
BELB:water_monitoring_river_quality_eco
BELB:zones_de_carence_ev
BELB:geology_field_data
BELB:water_sewage_treatment
BELB:geology_stratigraphy_map
BELB:geology_stratigraphy
BELB:greenway
BELB:water_river_klimcicc
BELB:water_river_taq_cha_klimcicc
BELB:sustainable_neighborhood_area
BELB:geothermie_ates
BELB:geothermie_btes
BELB:water_groundwater
BELB:inventaire_etat_sol_public
BELB:inventaire_sol_sensitivity_class
BELB:flood_hazardmap_fluvial_rp100_depth
BELB:flood_hazardmap_fluvial_rp10_depth
BELB:flood_hazardmap_fluvial_2019
BELB:flood_hazardmap_fluvial_extreme_depth
BELB:natura_2000_station
BELB:playground
BELB:installations_ied
BELB:noise_air_lden_16
BELB:water_monitoring_groundwater_level
BELB:water_monitoring_groundwater_quality
BELB:noise_air_ln_16
BELB:water_polygon
BELB:water_river_open
BELB:water_groundwater_abstraction
BELB:water_surface
BELB:geology_stratigraphy_top
BELB:natural_reserve
BELB:poi_greenway
BELB:air_blackcarbon
BELB:ecolabel_firm
BELB:greenfield_area
BELB:market_gardener
BELB:priority_greening_zone_99
BELB:water_bodies_surface
BELB:water_monitoring_river_fish
BELB:water_supply_zone
BELB:reb_zone_centrale
BELB:serd
BELB:vegetation_open_2008
BELB:water_monitoring_groundwater_quality_reporting
BELB:water_monitoring_river_quality_phch
BELB:water_sewage_uwwtp_basin
BELB:batex
BELB:geology_stratigraphy_thickness
BELB:natura_2000_habitat
BELB:reb_zone_developpement
BELB:seveso_area
BELB:vegetation_dense_2008
BELB:european_protected_areas
BELB:groundwater_model_phreatic_depth
BELB:kitchen_garden_zone_14
BELB:vegetation_2016
BELB:water_monitoring_river_quality_phch_reporting
BELB:water_river_cover
BELB:air_monitoring_stations
BELB:workplace_mobility_plan
BELB:water_watershed
BELB:water_protectedsite_drinking_water_gallery
BELB:vegetation_2020
BELB:map_bio_value_2020
BELB:noise_road_lden_16
BELB:inventaire_sol_cadastre_ref
BELB:map_bio_value_2000
BELB:vegetation_2020_canopy
BELB:map_bio_value_ilots_18
BELB:noise_road_ln_16
BELB:map_bio_value_biotope
BELB:noise_rail_lden_16
BELB:natura_2000_habitat_aqua
BELB:natura_2000_habitat_pt
BELB:noise_multi_ln_16
BELB:public_green_area
